time,sensor_x0[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_y0[undefined],sensor_x[undefined],sensor_gamma[undefined],sensor_y[undefined],sensor_z0[undefined],sensor_z[undefined],label_activities_sitting
1652785665498.1,0.1,-0.8,1.2,0.1,0.5,-1.8,7.1,0.3,7.2,x
1652785665507.5,0.1,-0.8,1.2,0.1,0.5,-1.8,7.1,0.3,7.2,x
1652785665524.3,0,1.5,1,-0.1,0.4,-2.4,7,0.1,6.9,x
1652785665541,0.1,1.1,-0.1,0,0.4,-3.1,7,-0.3,6.6,x
1652785665559.1,0,-1.7,2.6,0,0.3,-3.1,7,-0.3,6.6,x
1652785665574.3,0,-1.7,2.6,0,0.3,-3.1,7,-0.2,6.7,x
1652785665590.9,-0.1,-3.5,0.6,-0.1,0.1,-2.1,6.9,0,7.1,x
1652785665607.7,-0.3,-0.5,-4.6,-0.1,0.1,-0.5,7,0.5,7.4,x
1652785665624.3,-0.2,-0.5,-4.6,0.1,0.1,-0.5,7,0.3,7.4,x
1652785665640.9,-0.1,1.6,-6.8,0.1,0.3,0.4,7.1,-0.1,6.8,x
1652785665658,0.1,0,-1.4,0,0.3,0.3,7.1,-0.2,6.8,x
1652785665674.3,0,0,-1.4,0,0.4,0.3,7,-0.3,6.7,x
1652785665690.9,0.1,-2.9,1.6,0,0.6,-0.1,7.1,-0.2,6.8,x
1652785665707.5,0.2,-5,2.2,0,0.5,-1.1,7,-0.1,6.9,x
1652785665725.4,0.1,-5.5,3.2,0,0.4,-1.9,7,0,6.9,x
1652785665741.3,0,-6,3.8,0,0.4,-1.8,7,0,6.9,x
1652785665757.5,-0.2,-6,3.8,-0.1,0,-1.8,6.9,0.1,7.1,x
1652785665774.3,-0.5,-4.1,5.9,0,-0.2,1.8,6.9,0.3,7.3,x
1652785665790.9,-0.4,-2.7,5.4,-0.3,-0.1,4.1,6.7,0.3,7.3,x
1652785665807.6,-0.3,-2.7,5.4,-0.3,-0.1,4.1,6.7,0.3,7.3,x
1652785665824.2,-0.2,1.9,-4,0,0.1,7.3,7,0.1,7,x
1652785665840.9,-0.1,1.9,-4,0.1,0.1,7.3,7,0,7,x
1652785665858.8,0.1,4.9,-10.1,0.2,0.6,7,7.2,0.1,7.1,x
1652785665874.9,0.3,4.9,-10.1,0.1,0.7,7,6.9,0,6.9,x
1652785665891,0.4,3.4,-6.1,-0.1,0.8,3.9,7,-0.2,6.8,x
1652785665907.6,0.3,0,2.2,0.2,0.7,2.6,7.1,-0.1,6.8,x
1652785665924.5,0.3,0,2.2,0.1,0.7,2.6,7,0,7.1,x
1652785665941,0.2,2,7.1,-0.1,0.5,0.1,6.8,0.2,7.2,x
1652785665957.6,0,3.9,3,-0.1,0.4,0,7,0.1,7,x
1652785665977.1,-0.2,3.5,1,0,0.2,0.7,7,-0.2,6.8,x
1652785665991,-0.3,3.5,1,0,0.2,0.7,7,-0.2,6.8,x
1652785666007.5,-0.2,1,-2,-0.1,0.2,3.2,7,-0.1,6.9,x
1652785666024.2,-0.2,1.6,-5.8,0,0.3,4,7.1,0.1,7,x
1652785666040.9,-0.1,1.6,-5.8,0.1,0.3,4,7.1,0,6.9,x
1652785666057.6,-0.2,0.5,-6.1,0,0.3,6.5,7,0,6.9,x
1652785666074.1,-0.1,-0.2,-5.7,-0.1,0.5,7.4,6.9,0,6.9,x
1652785666090.9,0,-0.2,-5.7,0,0.5,7.4,6.9,0,6.9,x
1652785666107.6,0.4,-0.3,-6.7,0.1,1,6.9,7.1,-0.1,6.8,x
1652785666124.3,0.4,-1.3,-5.1,0,0.9,2.1,7,-0.1,6.8,x
