time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1664285099970.7,231.6,32,0.2,x
1664285100027,229.7,31.9,0.3,x
1664285100037.3,228.1,31.2,0.1,x
1664285100056.5,226.7,30.3,-0.5,x
1664285100070.7,226.2,30.1,-0.8,x
1664285100087.4,225.6,30,-1,x
1664285100120.6,224.3,29.9,-1.2,x
1664285100137.3,221.9,30.2,-1.2,x
1664285100154,221.3,30.4,-1.1,x
1664285100170.7,220.2,30.8,-1.1,x
1664285100187.3,219.2,31,-1.1,x
1664285100204.2,218.7,31,-1.2,x
1664285100220.5,217.9,30.8,-1.3,x
1664285100237.3,217,30.4,-1.5,x
1664285100254.1,216.6,30.2,-1.7,x
1664285100270.8,215.6,30,-2.1,x
1664285100287.4,215.2,30,-2.3,x
1664285100304.2,214.5,29.7,-2.4,x
1664285100320.9,213.9,29.1,-2.7,x
1664285100337.4,213.6,28.9,-2.9,x
1664285100354,212.9,28.7,-3.3,x
1664285100371.1,212,28.9,-3.4,x
1664285100387.5,211.1,29.4,-3.3,x
1664285100404.5,210.7,29.7,-3.2,x
1664285100420.6,209.8,30.1,-3.1,x
1664285100438.5,208.7,30.5,-3.1,x
1664285100454.1,208.2,30.6,-3.1,x
1664285100470.6,207.3,30.7,-3,x
1664285100488.6,206.5,30.7,-2.9,x
1664285100504.3,206,30.6,-2.8,x
1664285100520.7,205.2,30.4,-2.7,x
1664285100537.9,204.2,30.2,-2.5,x
1664285100554.8,203.7,30.1,-2.3,x
1664285100570.7,202.5,30.2,-1.9,x
1664285100599.4,200.8,30.9,-1.3,x
1664285100620.6,199.7,31.5,-0.9,x
1664285100637.4,198.5,31.8,-0.5,x
1664285100654,198,31.9,-0.4,x
1664285100670.8,196.9,32,-0.2,x
1664285100687.5,195.8,32.2,0,x
1664285100704.5,195.3,32.3,0.1,x
1664285100720.7,194.1,32.7,0.4,x
1664285100737.4,192.8,32.9,0.7,x
1664285100754.2,192.2,32.9,0.8,x
1664285100770.8,190.8,32.9,0.9,x
1664285100787.6,189.3,32.9,1.2,x
1664285100804,188.5,32.9,1.3,x
1664285100820.8,186.7,33.1,1.8,x
1664285100838.4,185.7,33.3,2.1,x
1664285100854.1,183.8,33.7,2.7,x
1664285100870.6,181.9,34,3.1,x
1664285100887.5,180,34,3.4,x
1664285100904.2,179.1,33.9,3.6,x
1664285100920.7,177.1,33.5,4.1,x
1664285100967.3,173.4,32.7,4.2,x
1664285100975.1,172.4,32.8,4.2,x
1664285100987.4,171.3,33,4.4,x
1664285101004.5,169.1,33.1,5,x
1664285101020.6,167.2,32.7,5.6,x
1664285101037.2,165.5,31.9,5.8,x
1664285101054,164.5,31.5,5.7,x
1664285101070.6,162.7,31,5.6,x
1664285101087.4,160.7,30.9,5.7,x
1664285101103.9,159.8,30.9,5.7,x
1664285101120.6,157.9,30.9,5.9,x
1664285101137.2,156.1,30.9,5.9,x
1664285101153.9,155.2,30.8,5.9,x
1664285101171.3,153.4,30.6,5.8,x
1664285101187.3,152.6,30.4,5.8,x
1664285101204,150.9,30.2,5.8,x
1664285101220.4,149.2,30,5.8,x
1664285101237.3,147.6,29.8,5.9,x
1664285101253.8,146.8,29.7,5.9,x
1664285101270.6,145.3,29.4,6,x
1664285101287.3,143.9,29.2,6.1,x
1664285101303.9,143.2,29.1,6.1,x
1664285101320.5,141.7,29,6.1,x
1664285101337.8,140.4,29,6,x
1664285101354.2,139.7,29,6,x
1664285101370.7,138.4,28.9,6.1,x
1664285101405.5,136.7,28.9,6.2,x
1664285101437.1,134.6,28.4,6.3,x
1664285101453.7,134.1,28.4,6.2,x
1664285101470.4,133,28.4,6.1,x
1664285101487.3,131.9,28.7,6.3,x
1664285101503.8,131.3,28.8,6.4,x
1664285101520.5,130.4,28.9,6.7,x
1664285101537.2,129.6,28.3,6.5,x
1664285101553.8,128.9,27.9,5.8,x
1664285101570.5,128.4,27.9,5.3,x
1664285101587.3,127.5,28.3,5,x
1664285101603.8,127,28.4,5.1,x
1664285101620.5,125.9,28.5,5.3,x
1664285101637.2,124.9,28,5.3,x
1664285101654.4,123.8,27.5,5,x
1664285101670.4,123.2,27.4,4.8,x
1664285101687.2,121.9,27.3,4.6,x
1664285101703.8,121.3,27.3,4.6,x
1664285101720.4,120.2,27.3,4.7,x
1664285101737.1,118.9,27.1,4.8,x
1664285101754,117.7,26.9,4.8,x
1664285101770.4,117.1,26.8,4.8,x
1664285101787.1,115.9,26.7,4.7,x
1664285101804.3,114.7,26.8,4.6,x
1664285101820.4,114.1,26.8,4.7,x
1664285101837.1,113,27,4.8,x
1664285101853.8,112.4,27.1,4.9,x
1664285101878.2,111,27,4.8,x
1664285101889.9,110.5,27,4.7,x
1664285101903.9,109.5,26.8,4.7,x
1664285101920.5,109,26.7,4.7,x
1664285101937.4,108.1,26.7,4.7,x
1664285101953.8,107.4,26.8,4.7,x
1664285101970.4,107,26.8,4.7,x
1664285101987.1,106.3,26.9,4.6,x
1664285102003.8,105.9,26.9,4.5,x
1664285102020.4,105.3,26.9,4.4,x
1664285102037.1,104.7,27,4.4,x
