time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1655202435769.7,0.1,0.1,0.1,-0.3,4.2,9,-0.1,-0.2,-1.3,x
1655202435786.1,-0.1,0,0,-0.4,4.1,9,0.1,1.1,-1.8,x
1655202435801.9,-0.2,0,0.1,-0.5,4.1,9,-0.6,0.1,-1.9,x
1655202435818.5,-0.1,0,0.2,-0.4,4.1,9.1,-1,-2.5,-0.7,x
1655202435834.9,0,0,0.2,-0.3,4.1,9.1,0.5,-1.9,0.1,x
1655202435851.7,0,0,0.1,-0.3,4,9,1.2,-0.3,-0.8,x
1655202435869.5,0,0,0.1,-0.4,4.1,9,1.1,0.1,-1.9,x
1655202435885.8,-0.1,0,0,-0.5,4,8.9,1.3,-1.7,-2.3,x
1655202435901.6,-0.1,0,-0.1,-0.5,4.1,8.9,1.4,-1.9,-2.2,x
1655202435918.4,-0.1,0,-0.1,-0.4,4.1,8.8,1,-0.6,-1.4,x
1655202435934.9,-0.1,0,-0.2,-0.4,4.1,8.7,0.3,0.9,-0.2,x
1655202435951.5,0,0,-0.2,-0.4,4,8.7,-1.7,0.6,0.1,x
1655202435968.3,0,-0.1,0,-0.4,4,9,-4.6,-1.8,-1,x
1655202435984.9,0,-0.1,0.2,-0.4,4,9.1,-3.4,-2.6,-1,x
1655202436001.6,0,-0.1,0.1,-0.3,4,9,-2.5,-1.7,-1,x
1655202436018.6,0,0,0,-0.4,4,9,-2.4,-0.4,-1.9,x
1655202436034.9,-0.1,0,0.2,-0.4,4.1,9.1,-4.9,-4.4,-1.8,x
1655202436051.6,0,0,0.3,-0.4,4.1,9.2,-5.2,-6.3,-1.6,x
1655202436068.2,0,0,0.3,-0.4,4,9.2,-0.4,-3,-0.2,x
1655202436084.9,0,0,-0.1,-0.4,4,8.9,3,1.9,-0.3,x
1655202436121.2,0.1,0,-0.1,-0.3,4.1,8.8,-1,-1.3,-0.1,x
1655202436134.8,0.1,0,0,-0.3,4,9,-1.5,-2.3,-0.5,x
1655202436151.3,0,0,0.1,-0.4,4,9,-0.1,1.6,-1.2,x
1655202436168,-0.1,0,0.1,-0.4,4,9,0.7,2.3,-1,x
1655202436185.1,0,-0.1,-0.1,-0.4,3.9,8.8,1.4,-0.2,-0.1,x
1655202436201.4,0,0,-0.1,-0.3,4,8.8,0.6,-1.5,0.2,x
1655202436218.2,0.1,-0.1,0,-0.3,3.9,8.9,-1.8,-0.7,-0.1,x
1655202436234.8,0,-0.1,0.1,-0.3,3.9,9.1,-3.2,-0.4,-0.4,x
