time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_testing
1658434046956,0.04,0.02,0.05,-2.3,-4.33,-8.43,0.38,-0.2,-0.43,x
1658434046973,0.01,0.02,0.1,-2.32,-4.32,-8.38,0.07,-0.67,-0.74,x
1658434046990,0.03,0.04,0.12,-2.31,-4.31,-8.35,-0.49,-1.36,-0.62,x
1658434047006,0.06,0.03,0.06,-2.28,-4.31,-8.42,-0.54,-2.88,-0.83,x
1658434047023,-0.03,0.05,-0.03,-2.39,-4.3,-8.5,-0.52,-10.49,-2.23,x
1658434047040,-0.11,0.07,0.03,-2.49,-4.27,-8.44,-1.05,-15.12,-4.65,x
1658434047056,-0.17,0.03,-0.12,-2.58,-4.32,-8.58,0.76,-15.63,-6.16,x
1658434047073,-0.2,0.07,-0.38,-2.64,-4.29,-8.81,5.68,-11.54,-6.49,x
1658434047090,-0.13,0.09,-0.21,-2.58,-4.29,-8.63,6.07,-8.28,-6.04,x
1658434047107,-0.07,0.06,-0.01,-2.54,-4.33,-8.43,3.83,-7,-6.18,x
1658434047123,-0.06,0,0.14,-2.53,-4.41,-8.26,2.25,-3.67,-5.85,x
1658434047140,-0.03,-0.05,0.11,-2.5,-4.47,-8.29,2.38,-1.78,-5.37,x
1658434047156,-0.05,-0.08,0.09,-2.52,-4.5,-8.31,3.22,-1.15,-5.39,x
1658434047173,0.09,-0.03,0.12,-2.37,-4.47,-8.27,5.33,0.02,-4.6,x
1658434047189,0.33,0,0.28,-2.13,-4.46,-8.11,5.93,0.85,-2.13,x
1658434047206,0.34,-0.03,0.36,-2.11,-4.5,-8.02,3.73,2.52,0.06,x
1658434047223,0.29,0.02,0.69,-2.15,-4.44,-7.69,-3.07,4.76,1.14,x
1658434047240,0.23,-0.03,0.57,-2.2,-4.49,-7.82,-6.8,5.17,2.13,x
1658434047256,0.24,-0.02,0.4,-2.18,-4.46,-8,-7.69,5.16,2.98,x
1658434047273,0.13,-0.07,-0.09,-2.28,-4.49,-8.51,-3.17,4.6,3.47,x
1658434047290,0.16,-0.07,-0.41,-2.25,-4.49,-8.83,1.06,2.87,3.66,x
1658434047306,0.06,-0.08,-0.34,-2.35,-4.49,-8.76,1.35,2.06,3.36,x
1658434047323,-0.07,-0.1,-0.13,-2.48,-4.51,-8.55,0.2,0.68,2.65,x
1658434047340,-0.16,-0.01,-0.18,-2.57,-4.42,-8.6,0.33,-1.53,2.16,x
1658434047356,-0.18,0.07,-0.17,-2.6,-4.34,-8.59,0.34,-3.77,0.88,x
1658434047373,-0.29,0.08,-0.3,-2.72,-4.34,-8.71,2.68,-3.17,-1.54,x
1658434047390,-0.28,0.06,-0.54,-2.71,-4.37,-8.95,6.31,-4.28,-2.69,x
1658434047407,-0.27,0.07,-0.41,-2.71,-4.37,-8.8,7.54,-5.53,-4.17,x
1658434047423,-0.32,0.02,-0.21,-2.77,-4.46,-8.58,8.11,-4.99,-6.18,x
1658434047440,-0.15,0.05,-0.05,-2.6,-4.44,-8.41,8.67,-4.79,-6.17,x
1658434047456,0.01,0.08,0.04,-2.45,-4.44,-8.31,7.99,-3.87,-5.89,x
1658434047473,0.17,0.04,0.24,-2.29,-4.5,-8.1,5.73,-4.32,-4.6,x
1658434047490,0.21,-0.02,0.27,-2.26,-4.57,-8.05,5.15,-5.1,-3.79,x
1658434047506,0.08,-0.06,0.2,-2.4,-4.63,-8.12,5.32,-5.39,-3.75,x
1658434047523,-0.05,0.06,0.19,-2.53,-4.53,-8.11,4.6,-4.74,-4.16,x
1658434047540,0.21,-0.03,0.19,-2.27,-4.63,-8.1,4.03,-2.92,-2.77,x
1658434047556,0.39,0.01,0.13,-2.1,-4.6,-8.15,3.59,-2.42,0.72,x
1658434047573,0.37,0,0.19,-2.13,-4.62,-8.09,2.72,-2.21,1.29,x
1658434047590,0.24,-0.06,0.03,-2.27,-4.68,-8.24,3.28,-3.85,1.89,x
1658434047606,0.14,-0.05,-0.05,-2.37,-4.68,-8.32,6.17,-3.24,1.69,x
1658434047623,0.04,0.07,-0.33,-2.5,-4.59,-8.58,12.63,-12.96,-1.31,x
1658434047640,-0.08,0.17,-0.28,-2.64,-4.52,-8.5,8.22,-17.13,-4.19,x
1658434047672,-0.11,-0.01,0.3,-2.64,-4.67,-7.94,-7.24,6.01,-0.67,x
1658434047674,-0.11,-0.01,0.3,-2.64,-4.67,-7.94,-7.24,6.01,-0.67,x
1658434047690,0.19,0.22,-0.65,-2.34,-4.44,-8.9,4.91,-8.23,1.71,x
1658434047706,0.38,0.42,-0.98,-2.18,-4.26,-9.2,17.1,-24.79,0.89,x
1658434047725,-0.26,0,-0.78,-2.91,-4.75,-8.94,19.81,-23.86,-5.05,x
1658434047739,-0.72,-0.16,0.3,-3.38,-4.94,-7.84,11.68,-5.84,-9.15,x
1658434047759,-0.52,-0.05,0.93,-3.15,-4.85,-7.21,-3.18,9.94,-11.39,x
1658434047776,-0.25,0,0.98,-2.86,-4.8,-7.17,-11.17,10.1,-10.19,x
1658434047790,0.57,0.15,0.39,-2,-4.63,-7.78,-11.71,9.64,-4.8,x
1658434047807,1.13,0.24,-0.26,-1.42,-4.51,-8.45,-2.33,4.24,6.64,x
1658434047823,0.89,0.1,-0.23,-1.66,-4.64,-8.42,1.08,1.56,9.09,
1658434047840,0.09,-0.09,0.21,-2.47,-4.83,-7.98,-1.16,1.46,5.27,
1658434047856,-0.19,-0.22,0.37,-2.75,-4.95,-7.83,-4.72,3.52,-0.06,
1658434047873,-0.05,-0.13,0.34,-2.6,-4.85,-7.87,-5.32,5.55,1.27,
1658434047890,0.28,-0.08,0.28,-2.26,-4.79,-7.94,-5.76,5.42,4.31,
1658434047906,0.28,-0.06,0.19,-2.26,-4.75,-8.04,-4.5,5.07,6.21,
1658434047924,0.08,0.06,-0.04,-2.45,-4.61,-8.28,-3.9,3.37,4.46,
1658434047940,-0.05,0.05,0,-2.59,-4.61,-8.25,-4.16,1.87,3.79,
1658434047956,-0.21,-0.06,-0.17,-2.74,-4.71,-8.42,-2.58,0.47,2.98,
1658434047973,-0.21,-0.05,-0.15,-2.75,-4.69,-8.41,-1.77,1.27,1.06,
1658434047990,-0.22,-0.01,-0.12,-2.76,-4.65,-8.38,-0.83,2.48,0.11,
1658434048006,-0.09,0.07,-0.09,-2.61,-4.57,-8.35,0.13,2.34,0.35,
1658434048023,-0.02,0.11,-0.03,-2.54,-4.53,-8.3,-0.48,1.57,0.46,
1658434048040,0.1,0.1,0.13,-2.42,-4.53,-8.14,-1.54,1.69,0.85,
1658434048056,0.02,0.06,0.13,-2.5,-4.57,-8.14,-1.17,2.96,0.88,
1658434048073,-0.01,-0.01,0.02,-2.52,-4.64,-8.25,-0.82,2.38,0.42,
1658434048090,0,-0.05,0.08,-2.5,-4.67,-8.19,-1.17,1.65,0.29,
1658434048106,0.01,-0.08,0.02,-2.49,-4.71,-8.26,-0.32,0.87,1.19,
1658434048123,0.13,-0.04,-0.03,-2.37,-4.67,-8.31,0.31,-0.74,1.44,
1658434048140,0.03,-0.04,0.07,-2.48,-4.66,-8.21,-0.65,0.97,1.39,
1658434048156,0.06,-0.03,0.03,-2.45,-4.65,-8.25,-0.49,1.2,2.5,
1658434048173,0.02,-0.02,-0.01,-2.49,-4.64,-8.29,-0.89,0.46,1.38,
1658434048190,-0.13,-0.01,0.01,-2.64,-4.62,-8.27,-1.45,1.73,0.02,
1658434048206,0.03,0.01,-0.12,-2.48,-4.6,-8.41,0.18,0.78,1.07,
1658434048223,0.08,0.02,-0.14,-2.43,-4.59,-8.42,1.46,-1.23,1.76,
1658434048240,0.02,0.04,-0.04,-2.5,-4.57,-8.32,2.16,-1.84,1.24,
1658434048256,0.09,0.01,0,-2.43,-4.62,-8.27,3.41,-0.3,2.28,
1658434048273,0.06,0.01,0.07,-2.46,-4.62,-8.2,2.51,-0.11,2.42,
1658434048290,-0.09,-0.03,0.33,-2.61,-4.66,-7.94,0.02,-0.44,0.94,
1658434048306,-0.11,0.04,0.29,-2.63,-4.59,-7.98,-2.63,-0.32,0.18,
1658434048323,-0.08,0.02,0.23,-2.61,-4.6,-8.05,-3.41,-0.45,-0.08,
1658434048340,0.08,0.05,0.03,-2.44,-4.56,-8.24,-2.15,0.52,1.26,
